Word,Frequency,PMI,R_Entropy,L_Entropy
江,166,80,5.059650961249217,5.518940088689745
之,160,80,6.027803797457459,5.854541932587248
山,117,80,5.747204127883428,5.640320819270288
又,116,80,3.0475336028509985,3.299916668269237
南,115,80,4.855177626160281,4.158799343031584
东,109,80,3.3978051317404767,3.1189442824149904
北,107,80,4.7713843197557235,3.911031184881852
西,84,80,4.1655168006170475,5.065400175951613
岸,78,80,4.656995287947002,3.560795285325736
有,76,80,5.671948072511783,4.834568794631726
口,76,80,4.422514534731629,4.520700553784929
以,73,80,5.4805856888688265,4.714040233273207
为,71,80,5.705947471556413,4.926458804276405
台,68,80,4.591005523053409,3.8875887373476234
里,68,80,3.1884790868834982,3.209586458534351
十,58,80,3.0875115506914748,4.143892715872896
可,56,80,4.149566877854578,4.61695376128637
至,54,80,5.3055419001914235,4.020177057530509
此,54,80,4.68418371977919,3.678055700282666
不,54,80,4.581108280214317,5.171610128273384
一,54,80,4.54161777775345,4.839661719245797
面,50,80,4.680689288944332,2.9792052014303545
水,50,80,4.114678579814105,4.704879870779914
三,47,80,3.1779997702608864,3.992328383861082
而,46,80,4.40343614224548,4.043057694064253
州,43,80,4.0942878270116525,3.5411601379727022
城,42,80,4.301238869995242,3.9017122122080172
迳,39,80,5.028991962451991,2.2077160629869375
于,36,80,4.436414669315458,4.133168925863646
湖,36,80,3.7214130664659364,4.375222374437918
流,34,80,4.03740119765411,3.053201971922903
曰,33,80,4.6375375112660535,3.084962500721156
中,33,80,3.5076013115120555,3.5780011510322707
其,32,80,4.452819531114783,3.3927474104487847
石,32,80,4.088779347361362,4.094739663055177
道,31,80,3.9941117190410798,2.499115806837825
下,30,80,3.6055161915432032,3.6424896731661263
近,29,80,3.883337460421007,3.7201287774331866
二,29,80,3.6978458230844122,3.5892750707107126
宜,28,80,4.0836169753972325,3.572469458770136
行,28,80,3.7294461949052566,4.133660689688185
处,27,80,3.734521664779752,3.873140679513132
由,27,80,3.5245437633162986,2.59490661824394
阳,27,80,3.2660562582833683,3.177985528699787
六,27,80,2.57733240884972,3.3426831892554913
上,26,80,3.4031071683628116,4.303508854797679
金,26,80,2.387125158510303,3.6835423624332306
汉,25,80,2.634602696255584,2.9649760679674704
府,25,80,2.488403899223372,3.1083757000539407
防,24,80,3.7841837197791888,3.522055208874201
沙,22,80,3.921928094887362,3.558518613048906
距,22,80,3.7499025061628957,3.169925001442312
敌,22,80,3.6490012097103404,3.7735572622751845
甚,22,80,3.426367488473226,3.4841837197791885
河,22,80,3.0031125421592044,3.7544418457133455
设,21,80,3.221928094887362,3.642149881636903
荆,21,80,2.3935474965388983,3.969815782426811
人,20,80,3.8365916681089787,3.341446071165522
则,20,80,3.7254805569978675,2.75
必,20,80,3.484183719779189,3.3927474104487847
四,20,80,3.046439344671015,2.9842341646524884
县,20,80,3.0286393118385755,3.68354236243323
折,20,80,2.4232196723355077,2.216917186688699
间,19,80,3.7004397181410926,2.7528553052032323
大,19,80,3.572431251322119,3.794653473544342
地,19,80,2.5503407095463886,3.2729055953200556
子,19,80,2.3253314601288055,2.390863696857044
矶,19,80,2.2516291673878226,3.5032583347756456
达,18,80,4.058813890331201,2.2132982820604443
无,18,80,3.94770277922009,3.321928094887362
诸,18,80,3.8365916681089787,3.875
在,18,80,3.7254805569978675,3.577819531114783
平,18,80,2.950212064914748,3.3921472236645345
